Highest Charting Position,Number of Times Charted,Song Name,Streams_x,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord,artist_pop,track_pop,mode,key,instrumentalness,time_signature,Explicit,Track_Number_on_Album,Artist_Genres
1,18,MONTERO (Call Me By Your Name),30071134,Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",97,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876,0.758,G#/Ab,81,4,0,8,0.0,4,1,1,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']"
3,16,Kiss Me More (feat. SZA),29356736,Doja Cat,8640063,"['dance pop', 'pop']",94,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867,0.742,G#/Ab,88,82,1,8,8.92e-05,4,1,1,"['dance pop', 'pop', 'pop rap']"
1,19,Peaches (feat. Daniel Caesar & Giveon),20294457,Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']",94,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082,0.464,C,90,86,1,0,0.0,4,1,12,"['canadian pop', 'pop', 'post-teen pop']"
3,17,deja vu,18571755,Olivia Rodrigo,6266514,['pop'],93,0.442,0.612,-7.222,0.112,0.584,0.37,180.917,215507,0.178,D,85,88,1,2,5.7e-06,4,1,1,"['pop', 'post-teen pop']"
1,29,drivers license,15684978,Olivia Rodrigo,6266514,['pop'],92,0.561,0.431,-8.81,0.0578,0.768,0.106,143.875,242013,0.137,A#/Bb,85,88,1,10,1.42e-05,4,1,1,"['pop', 'post-teen pop']"
24,31,Heat Waves,15089184,Glass Animals,1890510,"['gauze pop', 'indietronica', 'shiver pop']",85,0.761,0.525,-6.9,0.0944,0.44,0.0921,80.87,238805,0.531,B,80,85,1,11,6.7e-06,4,0,14,"['gauze pop', 'indietronica', 'shiver pop']"
1,83,Blinding Lights,15011809,The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",92,0.514,0.73,-5.934,0.0598,0.00146,0.0897,171.005,200040,0.334,C#/Db,93,90,1,1,9.54e-05,4,0,1,"['canadian contemporary r&b', 'canadian pop', 'pop']"
3,28,Astronaut In The Ocean,14174752,Masked Wolf,365975,['australian hip hop'],89,0.778,0.695,-6.865,0.0913,0.175,0.15,149.996,132780,0.472,E,68,79,0,4,0.0,4,0,1,['australian hip hop']
4,83,Watermelon Sugar,11996689,Harry Styles,16112621,"['pop', 'post-teen pop']",90,0.548,0.816,-4.209,0.0465,0.122,0.335,95.39,174000,0.557,C,91,27,1,0,0.0,4,0,1,"['pop', 'post-teen pop']"
9,39,The Business,10739770,Tiësto,5785065,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",90,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000,0.235,G#/Ab,82,83,0,8,0.0192,4,0,1,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
